布魔方产品型号	颜色-红	颜色-黄	颜色-蓝	颜色-绿	颜色-咖	颜色-黑白灰	风格-美式	风格-欧式	风格-中式	风格-现代	风格-混搭	工艺-提花	工艺-绣花	工艺-印花	工艺-素织物	工艺-其他	材质-棉麻	材质-雪尼尔	材质-涤丝经面	材质-羊毛混纺	材质-其他	应用-沙发	应用-窗帘	应用-墙布	应用-抱枕	应用-床品	应用-其他	价格-单幅	价格-宽幅	成分(%)	每平方克重(g/㎡±5%)	幅宽-单幅（±2cm）	幅宽-宽幅（±2cm）	花型尺寸-横向（cm）	花型尺寸-纵向（cm）	原产地	水洗标-可水洗	水洗标-不可机洗	水洗标-可加干洗剂干洗	水洗标-不可干洗	可滚筒烘干	不可滚筒烘干	水洗标-低温熨烫	水洗标-不可熨烫	水洗标-可漂白	水洗标-不可漂白	花型图-1600px*800px	花型图-800px*800px	质地图-1600px*800px	质地图-800px*800px	质地图-400px*200px	质地图-400px*400px	搭配面料1	搭配面料2	搭配面料3	搭配面料4	搭配面料5	搭配面料6	检测报告
FHJ0003-43	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	100%涤纶	376	141	282	0	0	中国	0	1	1	0	0	1	1	0	0	1	FHJ0003-43-D1	FHJ0003-43-D2	FHJ0003-43-Q1	FHJ0003-43-Q2	FHJ0003-43-Q3	FHJ0003-43-Q4	FHJ0015-40	FHJ0041-04	FHJ0005-30	FHJ0005-32			
FHJ0004-20	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	48%涤纶 44%粘胶	396	145	290	72.5	55.7	中国	0	1	1	0	0	1	1	0	0	1	FHJ0004-20-D1	FHJ0004-20-D2	FHJ0004-20-Q1	FHJ0004-20-Q2	FHJ0004-20-Q3	FHJ0004-20-Q4	FHJ0004-21	FHJ0059-43	FHJ0039-21	FHJ0005-43			
FHJ0004-50	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	48%涤纶 44%粘胶	396	145	290	72.5	55.7	中国	0	1	1	0	0	1	1	0	0	1	FHJ0004-50-D1	FHJ0004-50-D2	FHJ0004-50-Q1	FHJ0004-50-Q2	FHJ0004-50-Q3	FHJ0004-50-Q4	FHJ0005-40	FHD0001-11	FHD0006-53	FHJ0041-10			
FHJ0004-30	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	48%涤纶 44%粘胶	396	145	290	72.5	55.7	中国	0	1	1	0	0	1	1	0	0	1	FHJ0004-30-D1	FHJ0004-30-D2	FHJ0004-30-Q1	FHJ0004-30-Q2	FHJ0004-30-Q3	FHJ0004-30-Q4	FHD0001-01	FHJ0041-04	FHJ0041-10	FHJ0017-30	FHJ0004-30		
FHJ0004-21	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	48%涤纶 44%粘胶	396	145	290	72.5	55.7	中国	0	1	1	0	0	1	1	0	0	1	FHJ0004-21-D1	FHJ0004-21-D2	FHJ0004-21-Q1	FHJ0004-21-Q2	FHJ0004-21-Q3	FHJ0004-21-Q4	FHJ0005-41	FHJ0040-01	FHD0002-20				
FHJ0004-40	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	48%涤纶 44%粘胶	396	145	290	72.5	55.7	中国	0	1	1	0	0	1	1	0	0	1	FHJ0004-40-D1	FHJ0004-40-D2	FHJ0004-40-Q1	FHJ0004-40-Q2	FHJ0004-40-Q3	FHJ0004-40-Q4	FHD0001-42	FHJ0041-04	FHJ0040-43				
FHJ0005-40	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	397	140	280	20	30	中国	0	1	1	0	0	1	1	0	0	1	FHJ0005-40-D1	FHJ0005-40-D2	FHJ0005-40-Q1	FHJ0005-40-Q2	FHJ0005-40-Q3	FHJ0005-40-Q4	FHJ0004-50	FHD0001-11	FHD0006-53	FHJ0041-10			
FHJ0005-41	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	397	140	280	20	30	中国	0	1	1	0	0	1	1	0	0	1	FHJ0005-41-D1	FHJ0005-41-D2	FHJ0005-41-Q1	FHJ0005-41-Q2	FHJ0005-41-Q3	FHJ0005-41-Q4	FHJ0004-21	FHJ0040-01	FHD0002-20				
FHJ0005-42	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	397	140	280	20	30	中国	0	1	1	0	0	1	1	0	0	1	FHJ0005-42-D1	FHJ0005-42-D2	FHJ0005-42-Q1	FHJ0005-42-Q2	FHJ0005-42-Q3	FHJ0005-42-Q4	FHJ0002-40	FHD0002-41	FHJ0041-04				
FHJ0005-50	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	397	140	280	20	30	中国	0	1	1	0	0	1	1	0	0	1	FHJ0005-50-D1	FHJ0005-50-D2	FHJ0005-50-Q1	FHJ0005-50-Q2	FHJ0005-50-Q3	FHJ0005-50-Q4	FHJ0012-50	FHJ0074-50	FHJ0074-51				
FHJ0005-01	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	397	140	280	20	30	中国	0	1	1	0	0	1	1	0	0	1	FHJ0005-01-D1	FHJ0005-01-D2	FHJ0005-01-Q1	FHJ0005-01-Q2	FHJ0005-01-Q3	FHJ0005-01-Q4	FHJ0015-42	FHJ0041-04	FHJ0005-03	FHJ0015-50	FHD0001-50		
FHJ0005-03	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	397	140	280	20	30	中国	0	1	1	0	0	1	1	0	0	1	FHJ0005-03-D1	FHJ0005-03-D2	FHJ0005-03-Q1	FHJ0005-03-Q2	FHJ0005-03-Q3	FHJ0005-03-Q4	FHD0001-50	FHJ0005-01	FHJ0015-42	FHJ0041-04	FHJ0015-50		
FHJ0005-20	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	397	140	280	20	30	中国	0	1	1	0	0	1	1	0	0	1	FHJ0005-20-D1	FHJ0005-20-D2	FHJ0005-20-Q1	FHJ0005-20-Q2	FHJ0005-20-Q3	FHJ0005-20-Q4	FHJ0011-20	FHJ0001-20	FHJ0074-20				
FHJ0005-10	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	397	140	280	20	30	中国	0	1	1	0	0	1	1	0	0	1	FHJ0005-10-D1	FHJ0005-10-D2	FHJ0005-10-Q1	FHJ0005-10-Q2	FHJ0005-10-Q3	FHJ0005-10-Q4	FHJ0012-40	FHD0001-41	FHJ0003-44	FHJ0041-04			
FHJ0005-30	0	1	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	397	140	280	20	30	中国	0	1	1	0	0	1	1	0	0	1	FHJ0005-30-D1	FHJ0005-30-D2	FHJ0005-30-Q1	FHJ0005-30-Q2	FHJ0005-30-Q3	FHJ0005-30-Q4	FHJ0003-43	FHJ0015-40	FHJ0041-04	FHJ0005-32			
FHJ0005-31	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	397	140	280	20	30	中国	0	1	1	0	0	1	1	0	0	1	FHJ0005-31-D1	FHJ0005-31-D2	FHJ0005-31-Q1	FHJ0005-31-Q2	FHJ0005-31-Q3	FHJ0005-31-Q4	FHJ0016-30	FHJ0041-34	FHJ0041-33				
FHJ0005-43	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	397	140	280	20	30	中国	0	1	1	0	0	1	1	0	0	1	FHJ0005-43-D1	FHJ0005-43-D2	FHJ0005-43-Q1	FHJ0005-43-Q2	FHJ0005-43-Q3	FHJ0005-43-Q4	FHJ0004-20	FHJ0004-21	FHJ0059-43	FHJ0039-21			
FHJ0005-32	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	100%涤纶	397	140	280	20	30	中国	0	1	1	0	0	1	1	0	0	1	FHJ0005-32-D1	FHJ0005-32-D2	FHJ0005-32-Q1	FHJ0005-32-Q2	FHJ0005-32-Q3	FHJ0005-32-Q4	FHJ0003-43	FHJ0015-40	FHJ0041-04	FHJ0005-30			
FHJ0006-50	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	56%涤纶 44%粘胶    	504	144	288	72	56.8	中国	0	1	1	0	0	1	1	0	0	1	FHJ0006-50-D1	FHJ0006-50-D2	FHJ0006-50-Q1	FHJ0006-50-Q2	FHJ0006-50-Q3	FHJ0006-50-Q4	FHJ0018-50	FHJ0041-04	FHJ0074-10	FHJ0036-50			
FHJ0006-40	0	1	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	56%涤纶 44%粘胶    	504	144	288	72	56.8	中国	0	1	1	0	0	1	1	0	0	1	FHJ0006-40-D1	FHJ0006-40-D2	FHJ0006-40-Q1	FHJ0006-40-Q2	FHJ0006-40-Q3	FHJ0006-40-Q4	FHJ0018-40	FHD0001-11	FHJ0074-40				
FHJ0006-51	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	56%涤纶 44%粘胶    	504	144	288	72	56.8	中国	0	1	1	0	0	1	1	0	0	1	FHJ0006-51-D1	FHJ0006-51-D2	FHJ0006-51-Q1	FHJ0006-51-Q2	FHJ0006-51-Q3	FHJ0006-51-Q4	FHJ0074-50	FHJ0018-51	FHD0001-10				
FHJ0006-10	0	1	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	56%涤纶 44%粘胶    	504	144	288	72	56.8	中国	0	1	1	0	0	1	1	0	0	1	FHJ0006-10-D1	FHJ0006-10-D2	FHJ0006-10-Q1	FHJ0006-10-Q2	FHJ0006-10-Q3	FHJ0006-10-Q4	FHJ0018-10	FHJ0036-50	FHJ0074-11				
FHJ0007-01	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	100%涤纶	510	146	292	18.3	19.2	中国	0	1	1	0	0	1	1	0	0	1	FHJ0007-01-D1	FHJ0007-01-D2	FHJ0007-01-Q1	FHJ0007-01-Q2	FHJ0007-01-Q3	FHJ0007-01-Q4	FHD0001-30	FHJ0039-40	FHJ0041-04				
FHJ0007-10	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	100%涤纶	510	146	292	18.3	19.2	中国	0	1	1	0	0	1	1	0	0	1	FHJ0007-10-D1	FHJ0007-10-D2	FHJ0007-10-Q1	FHJ0007-10-Q2	FHJ0007-10-Q3	FHJ0007-10-Q4	FHJ0041-44	NAIROBI-BADU-A-21	FHJ0003-40				
FHJ0007-40	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	100%涤纶	510	146	292	18.3	19.2	中国	0	1	1	0	0	1	1	0	0	1	FHJ0007-40-D1	FHJ0007-40-D2	FHJ0007-40-Q1	FHJ0007-40-Q2	FHJ0007-40-Q3	FHJ0007-40-Q4	FHD0002-40	FHJ0017-11	FHJ0039-45				
FHJ0007-20	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	100%涤纶	510	146	292	18.3	19.2	中国	0	1	1	0	0	1	1	0	0	1	FHJ0007-20-D1	FHJ0007-20-D2	FHJ0007-20-Q1	FHJ0007-20-Q2	FHJ0007-20-Q3	FHJ0007-20-Q4	FHJ0005-20	FHJ0012-20	FHJ0041-33				
FHJ0007-02	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	100%涤纶	510	146	292	18.3	19.2	中国	0	1	1	0	0	1	1	0	0	1	FHJ0007-02-D1	FHJ0007-02-D2	FHJ0007-02-Q1	FHJ0007-02-Q2	FHJ0007-02-Q3	FHJ0007-02-Q4	FHD0001-33	FHJ0041-04	FHJ0041-33	FHD0001-03			
FHJ0007-03	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	100%涤纶	510	146	292	18.3	19.2	中国	0	1	1	0	0	1	1	0	0	1	FHJ0007-03-D1	FHJ0007-03-D2	FHJ0007-03-Q1	FHJ0007-03-Q2	FHJ0007-03-Q3	FHJ0007-03-Q4	FHJ0040-43	FHJ0017-11	FHJ0003-40				
FHJ0007-04	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	100%涤纶	510	146	292	18.3	19.2	中国	0	1	1	0	0	1	1	0	0	1	FHJ0007-04-D1	FHJ0007-04-D2	FHJ0007-04-Q1	FHJ0007-04-Q2	FHJ0007-04-Q3	FHJ0007-04-Q4	FHJ0012-01	FHJ0005-40	FHJ0074-01				
FHJ0007-41	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	100%涤纶	510	146	292	18.3	19.2	中国	0	1	1	0	0	1	1	0	0	1	FHJ0007-41-D1	FHJ0007-41-D2	FHJ0007-41-Q1	FHJ0007-41-Q2	FHJ0007-41-Q3	FHJ0007-41-Q4	FHJ0059-10	FHJ0036-06	FHJ0063-40	FHJ0036-51			
FHJ0011-50	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	100%涤纶	385	145	290	36.3	33.8	中国	0	1	1	0	0	1	1	0	0	1	FHJ0011-50-D1	FHJ0011-50-D2	FHJ0011-50-Q1	FHJ0011-50-Q2	FHJ0011-50-Q3	FHJ0011-50-Q4	FHJ0001-50	FHJ0059-46	FHJ0074-50				
FHJ0011-20	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	100%涤纶	385	145	290	36.3	33.8	中国	0	1	1	0	0	1	1	0	0	1	FHJ0011-20-D1	FHJ0011-20-D2	FHJ0011-20-Q1	FHJ0011-20-Q2	FHJ0011-20-Q3	FHJ0011-20-Q4	FHJ0005-20	FHJ0001-20	FHJ0074-20				
FHJ0012-50	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	79%涤纶 21%粘胶	480	139	278	69.5	65.6	中国	0	1	1	0	0	1	1	0	0	1	FHJ0012-50-D1	FHJ0012-50-D2	FHJ0012-50-Q1	FHJ0012-50-Q2	FHJ0012-50-Q3	FHJ0012-50-Q4	FHJ0015-31	FHJ0017-50					
FHJ0012-30	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	79%涤纶 21%粘胶	480	139	278	69.5	65.6	中国	0	1	1	0	0	1	1	0	0	1	FHJ0012-30-D1	FHJ0012-30-D2	FHJ0012-30-Q1	FHJ0012-30-Q2	FHJ0012-30-Q3	FHJ0012-30-Q4	FHD0001-40	FHJ0041-33	FHJ0005-44				
FHJ0012-20	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	79%涤纶 21%粘胶	480	139	278	69.5	65.6	中国	0	1	1	0	0	1	1	0	0	1	FHJ0012-20-D1	FHJ0012-20-D2	FHJ0012-20-Q1	FHJ0012-20-Q2	FHJ0012-20-Q3	FHJ0012-20-Q4	FHJ0007-20	FHJ0005-20	FHJ0041-33				
FHJ0012-40	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	79%涤纶 21%粘胶	480	139	278	69.5	65.6	中国	0	1	1	0	0	1	1	0	0	1	FHJ0012-40-D1	FHJ0012-40-D2	FHJ0012-40-Q1	FHJ0012-40-Q2	FHJ0012-40-Q3	FHJ0012-40-Q4	FHJ0005-10	FHD0001-41	FHJ0003-44	FHJ0041-04			
FHJ0012-01	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	79%涤纶 21%粘胶	480	139	278	69.5	65.6	中国	0	1	1	0	0	1	1	0	0	1	FHJ0012-01-D1	FHJ0012-01-D2	FHJ0012-01-Q1	FHJ0012-01-Q2	FHJ0012-01-Q3	FHJ0012-01-Q4	FHJ0007-04	FHJ0005-40	FHJ0074-01				
FHJ0012-10	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	79%涤纶 21%粘胶	480	139	278	69.5	65.6	中国	0	1	1	0	0	1	1	0	0	1	FHJ0012-10-D1	FHJ0012-10-D2	FHJ0012-10-Q1	FHJ0012-10-Q2	FHJ0012-10-Q3	FHJ0012-10-Q4	FHJ0005-20	FHJ0041-10	FHJ0074-11				
FHJ0013-01	1	1	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	77%涤纶 23%粘胶	481	146	292	73	64.4	中国	0	1	1	0	0	1	1	0	0	1	FHJ0013-01-D1	FHJ0013-01-D2	FHJ0013-01-Q1	FHJ0013-01-Q2	FHJ0013-01-Q3	FHJ0013-01-Q4	FHJ0041-20	FHJ0059-02	FHJ0037-40				
FHJ0013-30	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	77%涤纶 23%粘胶	481	146	292	73	64.4	中国	0	1	1	0	0	1	1	0	0	1	FHJ0013-30-D1	FHJ0013-30-D2	FHJ0013-30-Q1	FHJ0013-30-Q2	FHJ0013-30-Q3	FHJ0013-30-Q4	FHJ0015-31	FHJ0018-51	FHJ0017-11				
FHJ0015-50	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	62%涤纶 38%棉	420	143	286	35.5	32	中国	0	1	1	0	0	1	1	0	0	1	FHJ0015-50-D1	FHJ0015-50-D2	FHJ0015-50-Q1	FHJ0015-50-Q2	FHJ0015-50-Q3	FHJ0015-50-Q4	FHJ0005-01	FHJ0015-42	FHJ0041-04	FHJ0005-03			
FHJ0015-20	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	62%涤纶 38%棉	420	143	286	35.5	32	中国	0	1	1	0	0	1	1	0	0	1	FHJ0015-20-D1	FHJ0015-20-D2	FHJ0015-20-Q1	FHJ0015-20-Q2	FHJ0015-20-Q3	FHJ0015-20-Q4	FHJ0041-10	FHJ0041-30	FHD0002-40	FHJ0063-40			
FHJ0015-31	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	62%涤纶 38%棉	420	143	286	35.5	32	中国	0	1	1	0	0	1	1	0	0	1	FHJ0015-31-D1	FHJ0015-31-D2	FHJ0015-31-Q1	FHJ0015-31-Q2	FHJ0015-31-Q3	FHJ0015-31-Q4	FHJ0013-30	FHJ0018-51	FHJ0017-11				
FHJ0015-40	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	62%涤纶 38%棉	420	143	286	35.5	32	中国	0	1	1	0	0	1	1	0	0	1	FHJ0015-40-D1	FHJ0015-40-D2	FHJ0015-40-Q1	FHJ0015-40-Q2	FHJ0015-40-Q3	FHJ0015-40-Q4	FHJ0003-43	FHJ0041-04	FHJ0005-30	FHJ0005-32			
FHJ0015-42	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	62%涤纶 38%棉	420	143	286	35.5	32	中国	0	1	1	0	0	1	1	0	0	1	FHJ0015-42-D1	FHJ0015-42-D2	FHJ0015-42-Q1	FHJ0015-42-Q2	FHJ0015-42-Q3	FHJ0015-42-Q4	FHJ0041-04	FHJ0005-03	FHJ0015-50	FHD0001-50	FHJ0005-01		
FHJ0015-02	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	62%涤纶 38%棉	420	143	286	35.5	32	中国	0	1	1	0	0	1	1	0	0	1	FHJ0015-02-D1	FHJ0015-02-D2	FHJ0015-02-Q1	FHJ0015-02-Q2	FHJ0015-02-Q3	FHJ0015-02-Q4	FHJ0005-40	FHJ0041-10	FHJ0059-43				
